GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1096170792	2021-03-20 21:48:09.640947	25797	species	Ruby-crowned Kinglet	Regulus calendula			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096170784	2021-03-20 21:48:09.640947	26950	species	Brown Thrasher	Toxostoma rufum			8					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1111190909	2021-04-03 23:33:38.575114	7029	species	American White Pelican	Pelecanus erythrorhynchos			4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Mason mill	L13800298	P	32.3351544	-86.0373657	2021-03-31	09:00:00	obsr658500	S84730453	Incidental	P20	EBIRD				1	0		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096170785	2021-03-20 21:48:09.640947	31943	species	White-throated Sparrow	Zonotrichia albicollis			5					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096170788	2021-03-20 21:48:09.640947	32155	species	Eastern Towhee	Pipilo erythrophthalmus			4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1089413586	2021-03-25 12:14:45.195882	2316	species	White-winged Dove	Zenaida asiatica			6					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The National Memorial For Peace And Justice	L13946863	H	32.3718558	-86.3137808	2021-03-07	07:09:00	obsr374184	S82925916	Traveling	P22	EBIRD	26	0.531		2	1	G6381641	1	1	1			Photos and audio taken. Known area.
URN:CornellLabOfOrnithology:EBIRD:OBS1089588692	2021-03-08 12:45:11.360109	31986	species	Savannah Sparrow	Passerculus sandwichensis			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Hyundai	L13950137	P	32.2797222	-86.3424903	2021-03-07	10:02:00	obsr374184	S82942942	Traveling	P22	EBIRD	42	0.338		2	1	G6381638	1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1097854994	2021-03-19 21:23:57.949354	21225	species	Tufted Titmouse	Baeolophus bicolor			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2021-03-18	13:45:00	obsr658500	S83648464	Traveling	P22	EBIRD	30	0.805		1	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1086952535	2021-03-03 21:23:28.321746	27031	species	Eastern Bluebird	Sialia sialis			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Mason mill	L13800298	P	32.3351544	-86.0373657	2021-03-03	15:30:00	obsr658500	S82713717	Traveling	P22	EBIRD	30	0.483		1	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1090617146	2021-03-22 01:11:30.254707	5942	species	Wilson's Snipe	Gallinago delicata			15					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1965 Hyundai Boulevard, Montgomery, Alabama, US (32.279, -86.342)	L6656455	P	32.2785202	-86.3420950	2021-03-08	15:04:00	obsr665305	S83034686	Traveling	P22	EBIRD	14	0.271		1	1		1	1	0			Conservative estimate. Down in grass huddled together so difficult to count.
URN:CornellLabOfOrnithology:EBIRD:OBS1090001400	2021-03-25 12:14:45.195882	2316	species	White-winged Dove	Zenaida asiatica			6					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The National Memorial For Peace And Justice	L13946863	H	32.3718558	-86.3137808	2021-03-07	07:09:00	obsr183378	S82982420	Traveling	P22	EBIRD	26	0.531		2	1	G6381641	1	1	1			Photos and audio taken. Known area.
URN:CornellLabOfOrnithology:EBIRD:OBS1086952536	2021-03-03 21:23:28.321746	7885	species	Bald Eagle	Haliaeetus leucocephalus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Mason mill	L13800298	P	32.3351544	-86.0373657	2021-03-03	15:30:00	obsr658500	S82713717	Traveling	P22	EBIRD	30	0.483		1	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1086084182	2021-03-16 12:54:08.114904	32492	species	Baltimore Oriole	Icterus galbula			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Old Cloverdale	L8498878	P	32.3583444	-86.2967749	2021-03-02	12:45:00	obsr756192	S82639126	Stationary	P21	EBIRD	15			2	1		1	1	1			We’ve had 4 or 5 Orioles at our feeder for a month or so
URN:CornellLabOfOrnithology:EBIRD:OBS1093093828	2021-03-12 19:45:50.218787	7653	species	Northern Harrier	Circus hudsonius			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Rudder Rd., Hope Hull	L982093	H	32.2531502	-86.3512194	2021-03-12	09:52:00	obsr1139460	S83245138	Traveling	P22	EBIRD	29	1.887		1	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1089535884	2021-03-08 13:00:52.129293	27022	species	Northern Mockingbird	Mimus polyglottos			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			East McLean Rd., Hope Hull	L1070027	H	32.2373067	-86.3624096	2021-03-07	08:49:00	obsr374184	S82938371	Traveling	P22	EBIRD	57	2.527		2	1	G6381639	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1091046414	2021-03-09 14:39:13.444284	2316	species	White-winged Dove	Zenaida asiatica			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-09	08:44:00	obsr665305	S83069968	Stationary	P21	EBIRD	11			1	1		0	1	1			Continuing in neighborhood. At neighbor’s feeders.
URN:CornellLabOfOrnithology:EBIRD:OBS1099709193	2021-03-24 17:08:17.553806	33194	species	Northern Cardinal	Cardinalis cardinalis			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-21	08:30:00	obsr940190	S83799141	Stationary	P21	EBIRD	35			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096170777	2021-03-20 21:48:09.640947	26739	species	European Starling	Sturnus vulgaris			6					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1106489436	2021-03-29 13:47:36.184353	7338	species	Turkey Vulture	Cathartes aura			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			12900–12928 Troy Hwy, Mathews US-AL (32.1785,-86.1175)	L14206581	P	32.1784510	-86.1175230	2021-03-29	10:38:00	obsr1423708	S84344769	Incidental	P20	EBIRD				2	0	G6471356	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1094993884	2021-03-14 16:58:44.743578	2339	species	Mourning Dove	Zenaida macroura			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-14	15:48:00	obsr665305	S83411623	Stationary	P21	EBIRD	10			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1107856251	2021-03-31 09:17:19.379916	297	species	Canada Goose	Branta canadensis			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			8870–8942 Eastchase Pkwy, Montgomery US-AL 32.36408, -86.14072	L14225676	P	32.3640790	-86.1407230	2021-03-31	08:16:00	obsr603571	S84449784	Incidental	P20	EBIRD				2	0	G6477852	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1095018074	2021-03-16 12:38:52.282067	5311	species	American Coot	Fulica americana			67					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Lake Cameron, Pike Road, AL, us	L9302559	P	32.3523616	-86.0223546	2021-03-14	15:58:00	obsr790796	S83414251	Traveling	P22	EBIRD	29	5.180		2	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1093049183	2021-03-16 12:26:43.264759	33194	species	Northern Cardinal	Cardinalis cardinalis			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-12	09:04:00	obsr665305	S83241254	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 66 degrees partly sunny with high, hazy clouds.	
URN:CornellLabOfOrnithology:EBIRD:OBS1096082121	2021-03-16 12:24:50.470152	2316	species	White-winged Dove	Zenaida asiatica			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-16	08:26:00	obsr665305	S83500093	Stationary	P21	EBIRD	10			1	1		0	1	1		Sun porch. 69 degrees steady light rain.	Continuing in neighborhood.
URN:CornellLabOfOrnithology:EBIRD:OBS1102608151	2021-04-02 13:28:01.004757	33194	species	Northern Cardinal	Cardinalis cardinalis			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-24	17:30:00	obsr940190	S84039211	Stationary	P21	EBIRD	40			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1085870136	2021-03-02 09:22:48.938297	31098	species	Purple Finch	Haemorhous purpureus			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-02	08:02:00	obsr665305	S82619661	Stationary	P21	EBIRD	18			1	1		0	1	0		Sun porch. Steady rain. 44 degrees.	
URN:CornellLabOfOrnithology:EBIRD:OBS1100292053	2021-03-21 19:33:50.237729	1756	species	Pied-billed Grebe	Podilymbus podiceps			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The Waters--Lake Cameron	L2521696	H	32.3502880	-86.0243332	2021-03-21	17:03:00	obsr186678	S83851944	Traveling	P22	EBIRD	88	6.402		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1088600748	2021-03-06 09:54:29.650431	31084	species	House Finch	Haemorhous mexicanus			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-06	08:42:00	obsr665305	S82854092	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 54 degrees partly cloudy.	
URN:CornellLabOfOrnithology:EBIRD:OBS1101233763	2021-03-24 16:49:30.36175	26287	species	Carolina Wren	Thryothorus ludovicianus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-22	14:15:00	obsr940190	S83927374	Stationary	P21	EBIRD	35			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1086029472	2021-03-07 07:21:04.689124	21127	species	Carolina Chickadee	Poecile carolinensis			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			2140 Halcyon Downs Loop, Montgomery US-AL (32.3458,-86.1725)	L10381474	P	32.3458220	-86.1724960	2021-03-02	09:05:00	obsr325012	S82634137	Traveling	P22	EBIRD	101	4.828		1	1		0	1	0		Rain breeze 47	
URN:CornellLabOfOrnithology:EBIRD:OBS1090001385	2021-03-07 19:23:22.207491	31746	species	Field Sparrow	Spizella pusilla			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Rudder Rd., Hope Hull	L982093	H	32.2531502	-86.3512194	2021-03-07	07:52:00	obsr183378	S82982418	Traveling	P22	EBIRD	51	1.127		2	1	G6381640	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1092689582	2021-03-11 17:57:46.598494	10805	species	Downy Woodpecker	Dryobates pubescens			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2021-03-11	12:00:00	obsr1230280	S83213008	Stationary	P21	EBIRD	120			2	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1104517763	2021-04-02 13:29:33.334928	7124	species	Great Egret	Ardea alba			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The Waters--Lake Cameron	L2521696	H	32.3502880	-86.0243332	2021-03-27	09:43:00	obsr790796	S84185003	Traveling	P22	EBIRD	17	2.846		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1108502987	2021-03-31 22:00:17.884768	26287	species	Carolina Wren	Thryothorus ludovicianus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2021-03-31	15:54:00	obsr1352853	S84513900	Stationary	P21	EBIRD	305			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1085963005	2021-03-09 14:44:01.420369	27462	species	American Robin	Turdus migratorius			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-02	10:44:00	obsr665305	S82628520	Stationary	P21	EBIRD	12			1	1		0	1	0		Sun porch. Light rain. Feeders are particularly active this morning.	
URN:CornellLabOfOrnithology:EBIRD:OBS1087463665	2021-03-09 14:41:35.844978	27031	species	Eastern Bluebird	Sialia sialis			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-04	14:30:00	obsr940190	S82756204	Stationary	P21	EBIRD	75			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1099742306	2021-03-21 10:33:39.557904	31084	species	House Finch	Haemorhous mexicanus			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-21	09:18:00	obsr665305	S83800830	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 49 degrees mostly sunny.	
URN:CornellLabOfOrnithology:EBIRD:OBS1090420278	2021-03-09 14:39:13.444284	16233	species	Eastern Phoebe	Sayornis phoebe			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-08	10:20:00	obsr665305	S83016310	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch. Activity probably affected by tree cutting in neighbor’s yard.	
URN:CornellLabOfOrnithology:EBIRD:OBS1086579922	2021-03-03 11:39:24.973185	31382	species	American Goldfinch	Spinus tristis			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-03	10:12:00	obsr665305	S82682188	Stationary	P21	EBIRD	14			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1099019685	2021-03-24 17:12:17.856696	31733	species	Chipping Sparrow	Spizella passerina			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-19	08:35:00	obsr940190	S83741702	Stationary	P21	EBIRD	45			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1102148211	2021-03-24 16:49:30.36175	27462	species	American Robin	Turdus migratorius			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-24	08:00:00	obsr665305	S83998431	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch.	
URN:CornellLabOfOrnithology:EBIRD:OBS1097855580	2021-03-19 21:23:57.949354	16233	species	Eastern Phoebe	Sayornis phoebe			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2021-03-18	13:45:00	obsr658500	S83648464	Traveling	P22	EBIRD	30	0.805		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1108502985	2021-03-31 22:00:17.877238	27462	species	American Robin	Turdus migratorius			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2021-03-31	15:54:00	obsr1352853	S84513900	Stationary	P21	EBIRD	305			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1095153348	2021-03-16 12:24:50.470152	31361	species	Pine Siskin	Spinus pinus			4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-14	16:00:00	obsr940190	S83426507	Stationary	P21	EBIRD	40			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1090001392	2021-03-25 12:14:45.195882	27022	species	Northern Mockingbird	Mimus polyglottos			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The National Memorial For Peace And Justice	L13946863	H	32.3718558	-86.3137808	2021-03-07	07:09:00	obsr183378	S82982420	Traveling	P22	EBIRD	26	0.531		2	1	G6381641	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1100211373	2021-03-21 18:33:07.008568	27022	species	Northern Mockingbird	Mimus polyglottos			3	P 	C3	P 		United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Waugh Park	L2063613	H	32.3561700	-86.0475000	2021-03-21	16:41:00	obsr35725	S83844992	Traveling	P22	EBIRD	27	0.960		1	1		0	1	0		Weather partly sunny and pleasant; temp 72 F. Walked paved quarter-mile loop noting all birds detected.	
URN:CornellLabOfOrnithology:EBIRD:OBS1100211375	2021-03-21 18:33:07.008568	7124	species	Great Egret	Ardea alba			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Waugh Park	L2063613	H	32.3561700	-86.0475000	2021-03-21	16:41:00	obsr35725	S83844992	Traveling	P22	EBIRD	27	0.960		1	1		0	1	0		Weather partly sunny and pleasant; temp 72 F. Walked paved quarter-mile loop noting all birds detected.	Feeding in large water-filled depression north of road.
URN:CornellLabOfOrnithology:EBIRD:OBS1104863503	2021-03-27 16:24:35.399771	7885	species	Bald Eagle	Haliaeetus leucocephalus			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The Waters--Lake Cameron	L2521696	H	32.3502880	-86.0243332	2021-03-27	13:07:00	obsr186678	S84214754	Traveling	P22	EBIRD	134	4.000		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1105149619	2021-03-27 22:14:22.513398	32301	species	Eastern Meadowlark	Sturnella magna			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Mason mill	L13800298	P	32.3351544	-86.0373657	2021-03-27	15:00:00	obsr658500	S84239293	Traveling	P22	EBIRD	45	0.483		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1100286013	2021-03-21 20:21:30.663561	1813	domestic	Rock Pigeon	Columba livia	Rock Pigeon (Feral Pigeon)	Columba livia (Feral Pigeon)	3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Montgomery Co., 331 S of 80	L14116537	P	32.3181647	-86.3078154	2021-03-21	11:45:00	obsr1008839	S83855762	Incidental	P20	EBIRD				2	0		0	1	0		Incidentals driving southbound	
URN:CornellLabOfOrnithology:EBIRD:OBS1094993883	2021-03-14 16:58:44.740312	31361	species	Pine Siskin	Spinus pinus			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-14	15:48:00	obsr665305	S83411623	Stationary	P21	EBIRD	10			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1088626698	2021-03-09 14:40:08.532915	8011	species	Red-tailed Hawk	Buteo jamaicensis			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-06	09:16:00	obsr665305	S82856807	Stationary	P21	EBIRD	14			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1091765074	2021-03-10 10:57:26.212748	26287	species	Carolina Wren	Thryothorus ludovicianus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L12597551	P	32.3251920	-86.1527620	2021-03-10	09:43:00	obsr851458	S83130665	Stationary	P21	EBIRD	14			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1088836375	2021-03-09 14:39:13.444284	33194	species	Northern Cardinal	Cardinalis cardinalis			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-06	13:15:00	obsr940190	S82882802	Stationary	P21	EBIRD	40			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1090001335	2021-03-08 12:45:11.360109	7338	species	Turkey Vulture	Cathartes aura			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Hyundai	L13950137	P	32.2797222	-86.3424903	2021-03-07	10:02:00	obsr183378	S82982416	Traveling	P22	EBIRD	42	0.338		2	1	G6381638	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1099027841	2021-03-24 17:12:17.856696	20373	species	Blue Jay	Cyanocitta cristata			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-19	08:35:00	obsr940190	S83741702	Stationary	P21	EBIRD	45			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1098092773	2021-03-19 13:16:46.878375	2339	species	Mourning Dove	Zenaida macroura			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-19	09:38:00	obsr665305	S83665612	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 50 degrees overcast.	
URN:CornellLabOfOrnithology:EBIRD:OBS1106058747	2021-04-02 13:22:19.423058	2316	species	White-winged Dove	Zenaida asiatica			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-27	08:40:00	obsr940190	S84314230	Stationary	P21	EBIRD	35			1	1		0	1	1			Continued...
URN:CornellLabOfOrnithology:EBIRD:OBS1086029470	2021-03-07 07:21:04.689124	26287	species	Carolina Wren	Thryothorus ludovicianus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			2140 Halcyon Downs Loop, Montgomery US-AL (32.3458,-86.1725)	L10381474	P	32.3458220	-86.1724960	2021-03-02	09:05:00	obsr325012	S82634137	Traveling	P22	EBIRD	101	4.828		1	1		0	1	0		Rain breeze 47	
URN:CornellLabOfOrnithology:EBIRD:OBS1089535902	2021-03-08 13:00:52.129293	575	species	Canvasback	Aythya valisineria			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			East McLean Rd., Hope Hull	L1070027	H	32.2373067	-86.3624096	2021-03-07	08:49:00	obsr374184	S82938371	Traveling	P22	EBIRD	57	2.527		2	1	G6381639	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096809973	2021-03-17 11:10:43.720789	5311	species	American Coot	Fulica americana			60					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The Waters--Lake Cameron	L2521696	H	32.3502880	-86.0243332	2021-03-15	14:47:00	obsr665305	S83558923	Traveling	P22	EBIRD	22	2.744		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1088600751	2021-03-06 09:54:29.657757	31733	species	Chipping Sparrow	Spizella passerina			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-06	08:42:00	obsr665305	S82854092	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 54 degrees partly cloudy.	
URN:CornellLabOfOrnithology:EBIRD:OBS1107603360	2021-04-02 13:20:05.630947	27022	species	Northern Mockingbird	Mimus polyglottos			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-29	15:10:00	obsr940190	S84432964	Stationary	P21	EBIRD	30			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1088600747	2021-03-06 09:54:29.647489	31361	species	Pine Siskin	Spinus pinus			12					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-06	08:42:00	obsr665305	S82854092	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 54 degrees partly cloudy.	Continuing.
URN:CornellLabOfOrnithology:EBIRD:OBS1093190026	2021-03-16 12:26:43.264759	20638	species	American Crow	Corvus brachyrhynchos			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-12	09:35:00	obsr940190	S83254584	Stationary	P21	EBIRD	25			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1088879439	2021-04-02 14:48:01.790618	26287	species	Carolina Wren	Thryothorus ludovicianus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The National Memorial For Peace And Justice	L13946863	H	32.3718558	-86.3137808	2021-03-06	12:16:00	obsr183378	S82881817	Traveling	P22	EBIRD	32	0.720		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1097694076	2021-03-18 17:06:12.022615	27022	species	Northern Mockingbird	Mimus polyglottos			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L9302629	P	32.3472132	-86.0196204	2021-03-17	16:30:00	obsr790796	S83632731	Stationary	P21	EBIRD	20			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1085610495	2021-03-01 18:55:06.370218	10620	species	Red-bellied Woodpecker	Melanerpes carolinus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-01	14:30:00	obsr940190	S82600126	Stationary	P21	EBIRD	40			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1087862861	2021-03-05 09:25:49.393677	21127	species	Carolina Chickadee	Poecile carolinensis			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			167–223 Tanglewood Trail, Montgomery US-AL 32.17434, -86.31623	L13910990	P	32.1743390	-86.3162290	2021-03-04	07:55:00	obsr743214	S82792578	Stationary	P21	EBIRD	90			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1085963004	2021-03-09 14:44:01.420369	2339	species	Mourning Dove	Zenaida macroura			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2021-03-02	10:44:00	obsr665305	S82628520	Stationary	P21	EBIRD	12			1	1		0	1	0		Sun porch. Light rain. Feeders are particularly active this morning.	
